Year,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player,Share
9,DFB-Pokal,Bayern Munich,0,1,0,0,0,0,0,0,0,1,Franck Ribéry,0.0007
8,Bundesliga,Bayern Munich,1,2,3,0,1,3,1,0,0,11,Franck Ribéry,0.0049
8,UEFA Cup,Bayern Munich,0,1,0,0,0,0,2,0,0,3,Franck Ribéry,0.0049
8,DFB-Pokal,Bayern Munich,0,0,0,0,1,0,0,0,1,2,Franck Ribéry,0.0049
8,Ligapokal,Bayern Munich,1,0,1,0,1,0,0,0,0,3,Franck Ribéry,0.0049
11,Premier Liga,Anzhi Makhachkala ( -2022),2,2,1,0,1,2,4,1,0,13,Samuel Eto'o,0.0134
11,Italy Cup,FC Internazionale,1,1,1,0,1,0,1,0,0,5,Samuel Eto'o,0.0134
11,Serie A,FC Internazionale,2,1,2,0,4,8,2,2,0,21,Samuel Eto'o,0.0134
11,Champions League,FC Internazionale,2,2,2,0,0,0,2,0,0,8,Samuel Eto'o,0.0134
11,Club World Cup,FC Internazionale,0,1,0,0,0,0,0,0,0,1,Samuel Eto'o,0.0134
11,Supercoppa Italiana,FC Internazionale,0,0,0,0,0,1,1,0,0,2,Samuel Eto'o,0.0134
10,Serie A,FC Internazionale,3,1,3,0,2,1,1,1,0,12,Samuel Eto'o,0.0137
10,Italy Cup,FC Internazionale,0,0,0,0,1,0,0,0,0,1,Samuel Eto'o,0.0137
10,Champions League,FC Internazionale,0,0,1,0,0,0,1,0,0,2,Samuel Eto'o,0.0137
10,Supercoppa Italiana,FC Internazionale,0,0,0,0,0,0,1,0,0,1,Samuel Eto'o,0.0137
9,LaLiga,FC Barcelona,4,9,9,1,2,1,4,0,0,30,Samuel Eto'o,0.0521
9,Champions League,FC Barcelona,2,0,1,0,1,0,0,0,0,4,Samuel Eto'o,0.0521
9,Champions League Qu.,FC Barcelona,0,1,0,0,0,0,1,0,0,2,Samuel Eto'o,0.0521
8,LaLiga,FC Barcelona,3,3,0,0,4,2,3,1,0,16,Samuel Eto'o,0.0042
8,Copa del Rey,FC Barcelona,0,0,0,0,0,0,1,0,0,1,Samuel Eto'o,0.0042
8,Champions League,FC Barcelona,0,0,0,0,1,0,0,0,0,1,Samuel Eto'o,0.0042
