Season,Competition,Club,Appearances,Goals,Assists,Yellow cards,Sesond yellow cards,Red cards,Minutes played,Player,Second yellow cards,Goals conceded,Clean sheets
09/10,Champions League,Bayern Munich,12,2,3,1,1,-,935,Thomas Müller,,,
08/09,Champions League,Bayern Munich,1,1,-,-,-,-,18,Thomas Müller,,,
2019,Leagues Cup,Chicago Fire,1,-,-,-,-,-,32,Bastian Schweinsteiger,,,
16/17,Europa League,Manchester United,1,-,-,-,-,-,28,Bastian Schweinsteiger,,,
15/16,Europa League,Manchester United,2,-,-,1,-,-,31,Bastian Schweinsteiger,,,
15/16,Champions League,Manchester United,6,-,-,1,-,-,423,Bastian Schweinsteiger,,,
15/16,Champions League Qu.,Manchester United,2,-,1,-,-,-,88,Bastian Schweinsteiger,,,
14/15,Champions League,Bayern Munich,6,-,4,1,-,-,456,Bastian Schweinsteiger,,,
13/14,Champions League,Bayern Munich,8,3,-,1,1,-,588,Bastian Schweinsteiger,,,
12/13,Champions League,Bayern Munich,12,2,4,4,-,-,939,Bastian Schweinsteiger,,,
11/12,Champions League,Bayern Munich,9,-,2,4,-,-,663,Bastian Schweinsteiger,,,
11/12,Champions League Qu.,Bayern Munich,2,1,-,-,-,-,180,Bastian Schweinsteiger,,,
10/11,Champions League,Bayern Munich,7,2,2,3,-,-,605,Bastian Schweinsteiger,,,
09/10,Champions League,Bayern Munich,12,-,-,3,-,-,1068,Bastian Schweinsteiger,,,
08/09,Champions League,Bayern Munich,9,2,2,-,-,-,730,Bastian Schweinsteiger,,,
07/08,UEFA Cup,Bayern Munich,12,-,3,1,-,-,877,Bastian Schweinsteiger,,,
06/07,Champions League,Bayern Munich,8,2,1,2,1,-,666,Bastian Schweinsteiger,,,
05/06,Champions League,Bayern Munich,7,-,3,1,-,-,480,Bastian Schweinsteiger,,,
04/05,Champions League,Bayern Munich,7,1,1,1,-,-,403,Bastian Schweinsteiger,,,
03/04,Champions League,Bayern Munich,3,-,-,-,-,-,82,Bastian Schweinsteiger,,,
02/03,Champions League,Bayern Munich,1,-,-,-,-,-,14,Bastian Schweinsteiger,,,
16/17,AFC Champions League,Al-Ahli Dubai Club (- 2017),7,2,-,-,-,-,242,Asamoah Gyan,,,
15/16,AFC Champions League,Shanghai SIPG,3,-,1,-,-,-,157,Asamoah Gyan,,,
15/16,AFC CL-Qualification,Shanghai SIPG,1,-,-,-,-,-,90,Asamoah Gyan,,,
14/15,AFC Champions League,Al-Ain FC,6,5,-,1,-,-,525,Asamoah Gyan,,,
13/14,AFC Champions League,Al-Ain FC,12,12,3,1,-,1,1046,Asamoah Gyan,,,
12/13,AFC Champions League,Al-Ain FC,4,1,-,-,-,-,277,Asamoah Gyan,,,
08/09,UEFA-Cup Qualifikation,Stade Rennais FC,1,-,-,-,-,-,46,Asamoah Gyan,,,
2018,Libertadores,CR Flamengo,-,-,,-,,-,-,Júlio César,-,-,-
17/18,Champions League,SL Benfica,1,-,,-,,-,90,Júlio César,-,5,-
16/17,Champions League,SL Benfica,1,-,,1,,-,90,Júlio César,-,4,-
15/16,Champions League,SL Benfica,7,-,,-,,-,630,Júlio César,-,8,2
14/15,Champions League,SL Benfica,3,-,,-,,-,270,Júlio César,-,4,1
11/12,Champions League,FC Internazionale,6,-,,-,,-,540,Júlio César,-,6,1
10/11,Champions League,FC Internazionale,7,-,,-,,-,586,Júlio César,-,15,1
10/11,Club World Cup,FC Internazionale,2,-,,-,,-,180,Júlio César,-,-,2
10/11,UEFA Super Cup,FC Internazionale,1,-,,-,,-,90,Júlio César,-,2,-
09/10,Champions League,FC Internazionale,13,-,,2,,-,1170,Júlio César,-,9,6
08/09,Champions League,FC Internazionale,7,-,,-,,-,630,Júlio César,-,9,2
07/08,Champions League,FC Internazionale,8,-,,-,,-,720,Júlio César,-,7,3
06/07,Champions League,FC Internazionale,6,-,,-,,-,540,Júlio César,-,5,3
05/06,Champions League,FC Internazionale,5,-,,1,,-,450,Júlio César,-,3,3
05/06,Champions League Qu.,FC Internazionale,2,-,,-,,-,180,Júlio César,-,1,1
2004,Copa Sudamericana,CR Flamengo,2,-,,-,,-,210,Júlio César,-,2,1
2003,Copa Sudamericana,CR Flamengo,1,-,,-,,-,90,Júlio César,-,3,-
2002,Libertadores,CR Flamengo,5,-,,-,,-,450,Júlio César,-,8,1
2001,Copa Mercosur,CR Flamengo,2,-,,-,,-,180,Júlio César,-,1,1
15/16,Europa League,SS Lazio,4,1,-,-,-,-,165,Miroslav Klose,,,
15/16,Champions League Qu.,SS Lazio,1,-,-,-,-,-,46,Miroslav Klose,,,
13/14,Europa League,SS Lazio,3,1,-,-,-,-,112,Miroslav Klose,,,
12/13,Europa League,SS Lazio,4,-,-,1,-,-,156,Miroslav Klose,,,
11/12,Europa League,SS Lazio,5,2,-,-,-,-,277,Miroslav Klose,,,
10/11,Champions League,Bayern Munich,2,1,-,-,-,-,100,Miroslav Klose,,,
09/10,Champions League,Bayern Munich,8,1,-,1,-,-,323,Miroslav Klose,,,
08/09,Champions League,Bayern Munich,8,7,3,1,-,-,654,Miroslav Klose,,,
07/08,UEFA Cup,Bayern Munich,12,5,1,-,-,-,827,Miroslav Klose,,,
06/07,UEFA Cup,SV Werder Bremen,7,2,2,1,1,-,515,Miroslav Klose,,,
06/07,Champions League,SV Werder Bremen,6,-,-,-,-,-,532,Miroslav Klose,,,
05/06,Champions League,SV Werder Bremen,7,3,1,-,-,-,576,Miroslav Klose,,,
05/06,Champions League Qu.,SV Werder Bremen,2,1,-,-,1,-,169,Miroslav Klose,,,
04/05,Champions League,SV Werder Bremen,8,2,-,1,-,-,563,Miroslav Klose,,,
03/04,UEFA Cup,1.FC Kaiserslautern,2,1,-,1,-,-,146,Miroslav Klose,,,
00/01,UEFA Cup,1.FC Kaiserslautern,12,2,5,2,-,-,850,Miroslav Klose,,,
16/17,Champions League,Bayern Munich,7,-,1,3,-,-,660,Philipp Lahm,,,
15/16,Champions League,Bayern Munich,12,-,-,-,-,-,1110,Philipp Lahm,,,
14/15,Champions League,Bayern Munich,8,-,1,2,-,-,696,Philipp Lahm,,,
13/14,Champions League,Bayern Munich,12,-,3,-,-,-,991,Philipp Lahm,,,
13/14,Club World Cup,Bayern Munich,2,-,-,-,-,-,180,Philipp Lahm,,,
13/14,UEFA Super Cup,Bayern Munich,1,-,-,-,-,-,120,Philipp Lahm,,,
12/13,Champions League,Bayern Munich,12,-,5,2,-,-,1067,Philipp Lahm,,,
11/12,Champions League,Bayern Munich,12,-,1,2,-,-,1140,Philipp Lahm,,,
11/12,Champions League Qu.,Bayern Munich,2,-,-,-,-,-,180,Philipp Lahm,,,
10/11,Champions League,Bayern Munich,8,-,-,-,-,-,720,Philipp Lahm,,,
09/10,Champions League,Bayern Munich,13,-,1,1,-,-,1170,Philipp Lahm,,,
08/09,Champions League,Bayern Munich,8,-,1,1,-,-,676,Philipp Lahm,,,
07/08,UEFA Cup,Bayern Munich,10,1,2,2,-,-,874,Philipp Lahm,,,
06/07,Champions League,Bayern Munich,9,-,-,-,-,-,810,Philipp Lahm,,,
05/06,Champions League,Bayern Munich,3,-,-,-,-,-,207,Philipp Lahm,,,
04/05,UEFA Cup,VfB Stuttgart,6,1,2,-,-,-,540,Philipp Lahm,,,
03/04,Champions League,VfB Stuttgart,7,-,2,-,-,-,611,Philipp Lahm,,,
02/03,Champions League,Bayern Munich,1,-,-,-,-,-,-,Philipp Lahm,,,
2021,Libertadores,São Paulo Futebol Clube,6,-,1,2,-,-,449,Dani Alves,,,
2020,Copa Sudamericana,São Paulo Futebol Clube,2,1,2,-,-,-,180,Dani Alves,,,
2020,Libertadores,São Paulo Futebol Clube,4,1,-,2,-,-,335,Dani Alves,,,
18/19,Champions League,Paris Saint-Germain,3,-,-,1,-,-,200,Dani Alves,,,
17/18,Champions League,Paris Saint-Germain,8,2,-,-,-,-,720,Dani Alves,,,
16/17,Champions League,Juventus FC,12,3,4,1,-,-,1001,Dani Alves,,,
15/16,Champions League,FC Barcelona,8,-,3,3,-,-,694,Dani Alves,,,
15/16,Club World Cup,FC Barcelona,2,-,-,-,-,-,180,Dani Alves,,,
15/16,UEFA Super Cup,FC Barcelona,1,-,-,1,-,-,120,Dani Alves,,,
14/15,Champions League,FC Barcelona,11,-,4,6,-,-,960,Dani Alves,,,
13/14,Champions League,FC Barcelona,8,2,-,2,-,-,720,Dani Alves,,,
12/13,Champions League,FC Barcelona,10,1,1,2,-,-,874,Dani Alves,,,
11/12,Champions League,FC Barcelona,10,-,4,3,-,-,855,Dani Alves,,,
11/12,Club World Cup,FC Barcelona,1,-,2,-,-,-,90,Dani Alves,,,
11/12,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,90,Dani Alves,,,
10/11,Champions League,FC Barcelona,12,2,3,2,-,-,1078,Dani Alves,,,
09/10,Champions League,FC Barcelona,11,-,2,2,-,-,990,Dani Alves,,,
09/10,Club World Cup,FC Barcelona,2,-,1,-,-,-,210,Dani Alves,,,
09/10,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,120,Dani Alves,,,
08/09,Champions League,FC Barcelona,10,-,2,3,-,-,900,Dani Alves,,,
08/09,Champions League Qu.,FC Barcelona,2,-,-,-,-,-,165,Dani Alves,,,
07/08,Champions League,Sevilla FC,8,2,3,2,-,-,750,Dani Alves,,,
07/08,Champions League Qu.,Sevilla FC,1,-,2,-,-,-,90,Dani Alves,,,
07/08,UEFA Super Cup,Sevilla FC,1,-,-,-,-,-,90,Dani Alves,,,
06/07,UEFA Cup,Sevilla FC,14,2,4,1,-,-,1313,Dani Alves,,,
06/07,UEFA Super Cup,Sevilla FC,1,-,-,1,-,-,90,Dani Alves,,,
05/06,UEFA Cup,Sevilla FC,13,-,3,7,-,-,1175,Dani Alves,,,
04/05,UEFA Cup,Sevilla FC,9,-,-,1,-,-,641,Dani Alves,,,
2022,Copa Sudamericana,Club Nacional,2,-,-,-,-,-,60,Luis Suárez Díaz,,,
21/22,Champions League,Atlético de Madrid,7,1,-,2,-,-,348,Luis Suárez Díaz,,,
20/21,Champions League,Atlético de Madrid,6,-,-,1,-,-,461,Luis Suárez Díaz,,,
19/20,Champions League,FC Barcelona,7,5,3,2,-,-,568,Luis Suárez Díaz,,,
18/19,Champions League,FC Barcelona,10,1,5,3,-,-,900,Luis Suárez Díaz,,,
17/18,Champions League,FC Barcelona,10,1,4,2,-,-,884,Luis Suárez Díaz,,,
16/17,Champions League,FC Barcelona,9,3,4,2,-,-,810,Luis Suárez Díaz,,,
15/16,Champions League,FC Barcelona,9,8,3,2,-,-,810,Luis Suárez Díaz,,,
15/16,Club World Cup,FC Barcelona,2,5,-,-,-,-,180,Luis Suárez Díaz,,,
15/16,UEFA Super Cup,FC Barcelona,1,1,1,-,-,-,120,Luis Suárez Díaz,,,
14/15,Champions League,FC Barcelona,10,7,3,1,-,-,828,Luis Suárez Díaz,,,
12/13,Europa League,Liverpool FC,6,3,-,1,-,-,415,Luis Suárez Díaz,,,
12/13,Europa League Qualifying,Liverpool FC,2,1,2,-,-,-,180,Luis Suárez Díaz,,,
10/11,Champions League,Ajax Amsterdam,5,1,3,3,-,-,450,Luis Suárez Díaz,,,
10/11,Champions League Qu.,Ajax Amsterdam,4,3,1,2,-,-,360,Luis Suárez Díaz,,,
09/10,Europa League,Ajax Amsterdam,7,2,4,3,-,-,550,Luis Suárez Díaz,,,
09/10,Europa League Qualifying,Ajax Amsterdam,2,4,-,-,-,-,136,Luis Suárez Díaz,,,
08/09,UEFA Cup,Ajax Amsterdam,10,5,3,3,-,-,893,Luis Suárez Díaz,,,
07/08,UEFA Cup,Ajax Amsterdam,2,-,-,1,-,-,132,Luis Suárez Díaz,,,
07/08,Champions League Qu.,Ajax Amsterdam,2,1,-,-,-,-,162,Luis Suárez Díaz,,,
06/07,UEFA Cup,FC Groningen,2,1,1,-,-,-,79,Luis Suárez Díaz,,,
2006,Libertadores,Club Nacional,3,-,-,1,-,-,116,Luis Suárez Díaz,,,
2005,Libertadores,Club Nacional,1,-,-,-,-,-,15,Luis Suárez Díaz,,,
23/24,AFC Champions League,Al-Hilal SFC,2,1,-,1,-,-,180,Neymar,,,
22/23,Champions League,Paris Saint-Germain,6,2,3,4,-,-,539,Neymar,,,
21/22,Champions League,Paris Saint-Germain,6,-,2,1,-,-,467,Neymar,,,
20/21,Champions League,Paris Saint-Germain,9,6,3,3,-,-,746,Neymar,,,
19/20,Champions League,Paris Saint-Germain,7,3,4,3,-,-,584,Neymar,,,
18/19,Champions League,Paris Saint-Germain,6,5,2,2,-,-,532,Neymar,,,
17/18,Champions League,Paris Saint-Germain,7,6,3,2,-,-,630,Neymar,,,
16/17,Champions League,FC Barcelona,9,4,9,5,-,-,797,Neymar,,,
15/16,Champions League,FC Barcelona,9,3,5,2,-,-,810,Neymar,,,
15/16,Club World Cup,FC Barcelona,1,-,2,1,-,-,88,Neymar,,,
14/15,Champions League,FC Barcelona,12,10,-,1,-,-,1025,Neymar,,,
13/14,Champions League,FC Barcelona,10,4,5,1,-,-,775,Neymar,,,
2012,Recopa Sudamericana,Santos FC,2,1,-,-,-,-,180,Neymar,,,
2012,Libertadores,Santos FC,12,8,3,6,-,-,1110,Neymar,,,
11/12,Club World Cup,Santos FC,2,1,-,-,-,-,180,Neymar,,,
2011,Libertadores,Santos FC,13,6,3,6,1,-,1133,Neymar,,,
2010,Copa Sudamericana,Santos FC,2,-,1,1,-,-,134,Neymar,,,
14/15,Champions League,Olympiacos Piraeus,6,-,-,-,-,-,540,Éric Abidal,,,
12/13,Champions League,FC Barcelona,-,-,-,-,-,-,-,Éric Abidal,,,
11/12,Champions League,FC Barcelona,6,-,-,1,-,-,494,Éric Abidal,,,
11/12,Club World Cup,FC Barcelona,2,-,-,-,-,-,156,Éric Abidal,,,
11/12,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,90,Éric Abidal,,,
10/11,Champions League,FC Barcelona,8,-,1,-,-,-,558,Éric Abidal,,,
09/10,Champions League,FC Barcelona,8,-,1,-,-,-,619,Éric Abidal,,,
09/10,Club World Cup,FC Barcelona,2,-,-,-,-,-,210,Éric Abidal,,,
09/10,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,120,Éric Abidal,,,
08/09,Champions League,FC Barcelona,3,-,-,-,-,1,246,Éric Abidal,,,
08/09,Champions League Qu.,FC Barcelona,2,-,-,-,-,-,180,Éric Abidal,,,
07/08,Champions League,FC Barcelona,10,-,-,1,-,-,900,Éric Abidal,,,
06/07,Champions League,Olympique Lyon,7,-,-,-,-,-,595,Éric Abidal,,,
05/06,Champions League,Olympique Lyon,6,-,1,-,-,-,540,Éric Abidal,,,
04/05,Champions League,Olympique Lyon,7,-,-,1,-,-,660,Éric Abidal,,,
00/01,Champions League,AS Monaco,1,-,-,-,-,-,90,Éric Abidal,,,
23/24,Club World Cup,Al-Ittihad Club,2,2,-,-,-,-,180,Karim Benzema,,,
23/24,AFC Champions League,Al-Ittihad Club,2,-,-,-,-,-,180,Karim Benzema,,,
22/23,Champions League,Real Madrid,10,4,1,-,-,-,746,Karim Benzema,,,
22/23,Club World Cup,Real Madrid,1,1,1,-,-,-,62,Karim Benzema,,,
22/23,UEFA Super Cup,Real Madrid,1,1,-,-,-,-,90,Karim Benzema,,,
21/22,Champions League,Real Madrid,12,15,2,1,-,-,1106,Karim Benzema,,,
20/21,Champions League,Real Madrid,10,6,-,-,-,-,839,Karim Benzema,,,
19/20,Champions League,Real Madrid,8,5,2,-,-,-,643,Karim Benzema,,,
18/19,Champions League,Real Madrid,8,4,2,-,-,-,588,Karim Benzema,,,
18/19,Club World Cup,Real Madrid,2,-,1,-,-,-,180,Karim Benzema,,,
18/19,UEFA Super Cup,Real Madrid,1,1,-,-,-,-,120,Karim Benzema,,,
17/18,Champions League,Real Madrid,9,5,-,-,-,-,600,Karim Benzema,,,
17/18,Club World Cup,Real Madrid,2,-,-,-,-,-,160,Karim Benzema,,,
17/18,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,83,Karim Benzema,,,
16/17,Champions League,Real Madrid,13,5,1,-,-,-,953,Karim Benzema,,,
16/17,Club World Cup,Real Madrid,2,2,1,-,-,-,200,Karim Benzema,,,
16/17,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,58,Karim Benzema,,,
15/16,Champions League,Real Madrid,9,4,-,-,-,-,604,Karim Benzema,,,
14/15,Champions League,Real Madrid,9,6,2,-,-,-,663,Karim Benzema,,,
14/15,Club World Cup,Real Madrid,2,1,-,-,-,-,180,Karim Benzema,,,
14/15,UEFA Super Cup,Real Madrid,1,-,1,-,-,-,90,Karim Benzema,,,
13/14,Champions League,Real Madrid,11,5,5,1,-,-,913,Karim Benzema,,,
12/13,Champions League,Real Madrid,10,5,5,-,-,-,531,Karim Benzema,,,
11/12,Champions League,Real Madrid,11,7,5,-,-,-,761,Karim Benzema,,,
10/11,Champions League,Real Madrid,8,6,1,-,-,-,372,Karim Benzema,,,
09/10,Champions League,Real Madrid,5,1,1,-,-,-,315,Karim Benzema,,,
08/09,Champions League,Olympique Lyon,8,5,2,1,-,-,704,Karim Benzema,,,
07/08,Champions League,Olympique Lyon,7,4,1,-,-,-,594,Karim Benzema,,,
06/07,Champions League,Olympique Lyon,3,2,-,-,-,-,101,Karim Benzema,,,
05/06,Champions League,Olympique Lyon,1,1,-,-,-,-,90,Karim Benzema,,,
04/05,Champions League,Olympique Lyon,-,-,-,-,-,-,-,Karim Benzema,,,
23/24,UECL Qualifiers,Adana Demirspor,5,-,-,1,-,-,166,Nani,,,
2021,Leagues Cup,Orlando City SC,1,-,-,1,-,-,90,Nani,,,
18/19,Europa League,Sporting CP,5,1,1,-,-,-,432,Nani,,,
17/18,Europa League,SS Lazio,6,-,-,-,-,-,246,Nani,,,
15/16,Europa League,Fenerbahce,9,1,1,3,-,-,681,Nani,,,
15/16,Europa League Qualifying,Fenerbahce,2,-,-,1,-,-,178,Nani,,,
15/16,Champions League Qu.,Fenerbahce,2,-,-,1,-,-,178,Nani,,,
14/15,Europa League,Sporting CP,2,-,-,-,-,-,180,Nani,,,
14/15,Champions League,Sporting CP,5,4,2,1,-,-,449,Nani,,,
13/14,Champions League,Manchester United,1,1,-,-,-,-,90,Nani,,,
12/13,Champions League,Manchester United,4,-,1,-,-,1,263,Nani,,,
11/12,Europa League,Manchester United,3,-,1,-,-,-,195,Nani,,,
11/12,Champions League,Manchester United,6,-,2,-,-,-,401,Nani,,,
10/11,Champions League,Manchester United,12,1,-,1,-,-,750,Nani,,,
09/10,Champions League,Manchester United,8,2,5,-,-,-,638,Nani,,,
08/09,Champions League,Manchester United,7,-,-,1,-,-,512,Nani,,,
08/09,Club World Cup,Manchester United,1,-,-,-,-,-,90,Nani,,,
08/09,UEFA Super Cup,Manchester United,1,-,-,-,-,-,90,Nani,,,
07/08,Champions League,Manchester United,11,-,3,2,-,-,639,Nani,,,
06/07,Champions League,Sporting CP,6,1,-,1,-,-,427,Nani,,,
05/06,UEFA Cup,Sporting CP,1,-,-,-,-,-,12,Nani,,,
05/06,Champions League Qu.,Sporting CP,1,-,-,-,-,-,18,Nani,,,
22/23,Champions League,FC Barcelona,4,-,-,-,-,-,256,Gerard Piqué,,,
21/22,Europa League,FC Barcelona,5,1,-,-,-,-,328,Gerard Piqué,,,
21/22,Champions League,FC Barcelona,5,1,-,2,-,-,393,Gerard Piqué,,,
20/21,Champions League,FC Barcelona,3,1,-,-,-,1,236,Gerard Piqué,,,
19/20,Champions League,FC Barcelona,7,-,-,3,-,-,627,Gerard Piqué,,,
18/19,Champions League,FC Barcelona,11,2,-,1,-,-,990,Gerard Piqué,,,
17/18,Champions League,FC Barcelona,9,1,-,3,1,-,736,Gerard Piqué,,,
16/17,Champions League,FC Barcelona,8,1,-,2,-,-,651,Gerard Piqué,,,
15/16,Champions League,FC Barcelona,7,1,-,3,-,-,596,Gerard Piqué,,,
15/16,Club World Cup,FC Barcelona,2,-,-,-,-,-,180,Gerard Piqué,,,
15/16,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,120,Gerard Piqué,,,
14/15,Champions League,FC Barcelona,11,1,-,2,-,-,990,Gerard Piqué,,,
13/14,Champions League,FC Barcelona,9,2,-,1,-,-,722,Gerard Piqué,,,
12/13,Champions League,FC Barcelona,10,-,-,3,-,-,684,Gerard Piqué,,,
11/12,Champions League,FC Barcelona,5,-,1,-,-,-,371,Gerard Piqué,,,
11/12,Club World Cup,FC Barcelona,1,-,-,1,-,-,56,Gerard Piqué,,,
10/11,Champions League,FC Barcelona,12,1,-,3,-,-,1026,Gerard Piqué,,,
09/10,Champions League,FC Barcelona,11,2,1,4,-,-,988,Gerard Piqué,,,
09/10,Club World Cup,FC Barcelona,2,-,1,1,-,-,156,Gerard Piqué,,,
09/10,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,120,Gerard Piqué,,,
08/09,Champions League,FC Barcelona,12,1,-,2,-,-,1080,Gerard Piqué,,,
08/09,Champions League Qu.,FC Barcelona,2,-,-,-,-,-,105,Gerard Piqué,,,
07/08,Champions League,Manchester United,3,2,-,-,-,-,252,Gerard Piqué,,,
05/06,Champions League,Manchester United,-,-,-,-,-,-,-,Gerard Piqué,,,
05/06,Champions League Qu.,Manchester United,-,-,-,-,-,-,-,Gerard Piqué,,,
04/05,Champions League,Manchester United,1,-,-,-,-,-,25,Gerard Piqué,,,
21/22,Europa League Qualifying,Galatasaray,1,-,-,-,-,-,14,Radamel Falcao,,,
21/22,Champions League Qu.,Galatasaray,1,-,-,-,-,-,1,Radamel Falcao,,,
20/21,Europa League Qualifying,Galatasaray,1,-,-,-,-,-,90,Radamel Falcao,,,
19/20,Champions League,Galatasaray,3,-,-,1,-,-,208,Radamel Falcao,,,
18/19,Champions League,AS Monaco,5,-,-,2,-,-,340,Radamel Falcao,,,
17/18,Champions League,AS Monaco,5,3,-,-,-,-,383,Radamel Falcao,,,
16/17,Champions League,AS Monaco,8,5,-,3,-,-,666,Radamel Falcao,,,
16/17,Champions League Qu.,AS Monaco,2,2,1,1,-,-,135,Radamel Falcao,,,
15/16,Champions League,Chelsea FC,-,-,-,-,-,-,-,Radamel Falcao,,,
12/13,Europa League,Atlético de Madrid,2,1,-,1,-,-,180,Radamel Falcao,,,
12/13,UEFA Super Cup,Atlético de Madrid,1,3,1,-,-,-,87,Radamel Falcao,,,
11/12,Europa League,Atlético de Madrid,15,12,2,2,-,-,1215,Radamel Falcao,,,
10/11,Europa League,FC Porto,14,17,2,1,-,-,1098,Radamel Falcao,,,
10/11,Europa League Qualifying,FC Porto,2,1,-,-,-,-,141,Radamel Falcao,,,
09/10,Champions League,FC Porto,8,4,1,1,-,-,639,Radamel Falcao,,,
2009,Libertadores,CA River Plate,4,2,-,-,-,-,360,Radamel Falcao,,,
2008,Copa Sudamericana,CA River Plate,2,1,-,-,-,-,166,Radamel Falcao,,,
2008,Libertadores,CA River Plate,7,4,1,1,-,1,522,Radamel Falcao,,,
2007,Copa Sudamericana,CA River Plate,5,4,-,2,-,-,450,Radamel Falcao,,,
2007,Libertadores,CA River Plate,1,-,-,-,-,1,63,Radamel Falcao,,,
2006,Copa Sudamericana,CA River Plate,2,-,-,-,-,-,102,Radamel Falcao,,,
14/15,Champions League,Juventus FC,10,1,-,-,-,-,787,Andrea Pirlo,,,
13/14,Europa League,Juventus FC,8,2,-,-,-,-,648,Andrea Pirlo,,,
13/14,Champions League,Juventus FC,5,-,1,1,-,-,419,Andrea Pirlo,,,
12/13,Champions League,Juventus FC,10,-,3,-,-,-,879,Andrea Pirlo,,,
10/11,Champions League,AC Milan,5,-,-,-,-,-,450,Andrea Pirlo,,,
09/10,Champions League,AC Milan,8,1,-,-,-,-,720,Andrea Pirlo,,,
08/09,UEFA Cup,AC Milan,3,1,-,1,-,-,226,Andrea Pirlo,,,
07/08,Champions League,AC Milan,8,2,4,1,-,-,704,Andrea Pirlo,,,
07/08,Club World Cup,AC Milan,2,-,-,-,-,-,180,Andrea Pirlo,,,
07/08,UEFA Super Cup,AC Milan,1,-,1,-,-,-,90,Andrea Pirlo,,,
06/07,Champions League,AC Milan,12,1,1,-,-,-,1037,Andrea Pirlo,,,
06/07,Champions League Qu.,AC Milan,2,-,-,-,-,-,171,Andrea Pirlo,,,
05/06,Champions League,AC Milan,12,1,1,1,-,-,1015,Andrea Pirlo,,,
04/05,Champions League,AC Milan,12,1,4,-,-,-,1054,Andrea Pirlo,,,
03/04,Champions League,AC Milan,9,1,-,2,-,-,780,Andrea Pirlo,,,
03/04,Intercontinental Cup,AC Milan,1,-,1,-,-,-,120,Andrea Pirlo,,,
03/04,UEFA Super Cup,AC Milan,1,-,-,1,-,-,90,Andrea Pirlo,,,
02/03,Champions League,Milan AC,12,-,-,2,-,-,860,Andrea Pirlo,,,
02/03,Champions League Qu.,Milan AC,1,-,-,-,-,-,82,Andrea Pirlo,,,
01/02,UEFA Cup,Milan AC,9,-,1,-,-,-,452,Andrea Pirlo,,,
00/01,UEFA Cup,FC Internazionale,1,-,-,-,-,-,90,Andrea Pirlo,,,
00/01,Champions League Qu.,FC Internazionale,2,-,-,-,-,-,121,Andrea Pirlo,,,
98/99,Champions League,FC Internazionale,5,-,1,-,-,-,118,Andrea Pirlo,,,
98/99,Champions League Qu.,FC Internazionale,2,-,-,-,-,-,44,Andrea Pirlo,,,
18/19,Europa League Qualifying,Feyenoord Rotterdam,1,-,-,-,-,-,71,Robin van Persie,,,
17/18,Europa League Qualifying,Fenerbahce,2,-,-,-,-,-,87,Robin van Persie,,,
16/17,Europa League,Fenerbahce,5,1,-,-,-,-,300,Robin van Persie,,,
16/17,Europa League Qualifying,Fenerbahce,2,-,-,-,-,-,90,Robin van Persie,,,
15/16,Europa League,Fenerbahce,9,-,-,2,-,-,651,Robin van Persie,,,
15/16,Europa League Qualifying,Fenerbahce,2,1,-,-,-,-,77,Robin van Persie,,,
15/16,Champions League Qu.,Fenerbahce,1,-,-,-,-,-,22,Robin van Persie,,,
13/14,Champions League,Manchester United,6,4,-,1,-,-,413,Robin van Persie,,,
12/13,Champions League,Manchester United,6,3,-,2,-,-,467,Robin van Persie,,,
11/12,Champions League,Arsenal FC,7,4,-,-,-,-,493,Robin van Persie,,,
11/12,Champions League Qu.,Arsenal FC,1,1,-,-,-,-,90,Robin van Persie,,,
10/11,Champions League,Arsenal FC,3,2,-,2,1,-,236,Robin van Persie,,,
09/10,Champions League,Arsenal FC,3,1,1,2,-,-,226,Robin van Persie,,,
09/10,Champions League Qu.,Arsenal FC,1,-,-,-,-,-,90,Robin van Persie,,,
08/09,Champions League,Arsenal FC,8,5,2,2,-,-,693,Robin van Persie,,,
08/09,Champions League Qu.,Arsenal FC,2,-,1,1,-,-,153,Robin van Persie,,,
07/08,Champions League,Arsenal FC,5,2,2,-,-,-,308,Robin van Persie,,,
07/08,Champions League Qu.,Arsenal FC,2,-,-,2,-,-,157,Robin van Persie,,,
06/07,Champions League,Arsenal FC,6,1,2,-,-,-,375,Robin van Persie,,,
06/07,Champions League Qu.,Arsenal FC,2,1,2,-,-,-,171,Robin van Persie,,,
05/06,Champions League,Arsenal FC,7,2,-,1,-,1,274,Robin van Persie,,,
04/05,Champions League,Arsenal FC,6,1,-,-,-,-,71,Robin van Persie,,,
03/04,UEFA Cup,Feyenoord Rotterdam,3,-,-,-,-,-,197,Robin van Persie,,,
02/03,Champions League,Feyenoord Rotterdam,2,-,-,-,-,-,74,Robin van Persie,,,
02/03,Champions League Qu.,Feyenoord Rotterdam,-,-,-,-,-,-,-,Robin van Persie,,,
01/02,UEFA Cup,Feyenoord Rotterdam,7,-,1,2,-,-,466,Robin van Persie,,,
23/24,Champions League,Bayern Munich,3,-,,-,,-,270,Manuel Neuer,-,1,2
