Season,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player
17/18,Europa League Qualifying,Kairat Almaty,-,1,1,-,-,-,-,-,-,2,Andrei Arshavin
2017,Premier Liga,Kairat Almaty,-,1,-,-,-,3,2,1,-,7,Andrei Arshavin
2017,Kubok Kazakhstana,Kairat Almaty,-,1,-,-,-,-,-,-,-,1,Andrei Arshavin
16/17,Europa League Qualifying,Kairat Almaty,-,1,-,-,-,1,-,-,-,2,Andrei Arshavin
2016,Kubok Kazakhstana,Kairat Almaty,-,-,-,-,-,1,-,-,-,1,Andrei Arshavin
2016,Premier League Championship-Playoff,Kairat Almaty,-,-,1,-,-,-,1,-,-,2,Andrei Arshavin
2016,Premier Liga,Kairat Almaty,-,1,3,1,1,-,-,-,-,6,Andrei Arshavin
14/15,Russian Cup,Zenit St. Petersburg,-,1,-,-,-,-,-,-,-,1,Andrei Arshavin
14/15,Premier Liga,Zenit St. Petersburg,-,-,1,-,-,-,-,-,-,1,Andrei Arshavin
13/14,Premier Liga,Zenit St. Petersburg,-,-,-,-,-,2,-,-,-,2,Andrei Arshavin
13/14,Champions League Qu.,Zenit St. Petersburg,-,-,-,-,-,1,1,-,-,2,Andrei Arshavin
12/13,EFL Cup,Arsenal FC,-,-,-,-,-,1,-,-,-,1,Andrei Arshavin
11/12,Reserve League,Arsenal FC Reserves,-,-,1,-,-,1,-,-,-,2,Andrei Arshavin
11/12,EFL Cup,Arsenal FC,-,-,-,-,1,-,-,-,-,1,Andrei Arshavin
11/12,Premier League,Arsenal FC,-,-,1,-,-,-,-,-,-,1,Andrei Arshavin
10/11,Premier Liga,Zenit St. Petersburg,-,-,-,-,-,1,2,-,-,3,Andrei Arshavin
10/11,Premier League,Arsenal FC,-,-,3,-,1,2,-,-,-,6,Andrei Arshavin
10/11,Champions League,Arsenal FC,1,1,-,-,-,-,1,-,-,3,Andrei Arshavin
10/11,EFL Cup,Arsenal FC,-,-,-,-,-,-,-,-,1,1,Andrei Arshavin
09/10,Premier League,Arsenal FC,1,2,2,-,1,1,2,1,-,10,Andrei Arshavin
09/10,Champions League,Arsenal FC,-,-,-,-,-,-,1,-,-,1,Andrei Arshavin
09/10,Champions League Qu.,Arsenal FC,-,-,-,-,-,1,-,-,-,1,Andrei Arshavin
08/09,Premier League,Arsenal FC,-,-,1,-,-,3,2,-,-,6,Andrei Arshavin
07/08,Premier Liga,Zenit St. Petersburg,2,2,-,-,-,-,1,1,-,6,Andrei Arshavin
07/08,UEFA Cup,Zenit St. Petersburg,-,1,1,-,-,1,1,-,-,4,Andrei Arshavin
07/08,Russian Super Cup,Zenit St. Petersburg,-,-,1,-,-,-,-,-,-,1,Andrei Arshavin
07/08,Russian Cup,Zenit St. Petersburg,-,-,-,-,-,1,-,-,-,1,Andrei Arshavin
06/07,Premier Liga,Zenit St. Petersburg,1,1,2,1,1,1,2,1,-,10,Andrei Arshavin
05/06,Premier Liga,Zenit St. Petersburg,3,1,1,-,-,2,-,-,-,7,Andrei Arshavin
05/06,UEFA Cup,Zenit St. Petersburg,-,1,-,-,2,-,1,-,-,4,Andrei Arshavin
05/06,UEFA-Cup Qualifikation,Zenit St. Petersburg,-,-,-,-,-,1,-,-,-,1,Andrei Arshavin
04/05,Premier Liga,Zenit St. Petersburg,-,2,2,-,3,2,-,-,-,9,Andrei Arshavin
04/05,Russian Cup,Zenit St. Petersburg,1,-,-,-,-,-,1,-,-,2,Andrei Arshavin
04/05,UEFA Cup,Zenit St. Petersburg,-,1,3,-,-,-,-,-,-,4,Andrei Arshavin
03/04,Premier Liga,Zenit St. Petersburg,-,1,4,-,1,-,-,-,-,6,Andrei Arshavin
02/03,Premier Liga,Zenit St. Petersburg,1,-,2,-,-,1,-,1,-,5,Andrei Arshavin
02/03,UEFA-Cup Qualifikation,Zenit St. Petersburg,1,-,-,-,1,-,-,-,-,2,Andrei Arshavin
01/02,Premier Liga,Zenit St. Petersburg,-,-,1,-,3,-,-,-,-,4,Andrei Arshavin
01/02,Russian Cup,Zenit St. Petersburg,-,-,-,-,-,-,-,-,1,1,Andrei Arshavin
00/01,Premier Liga,Zenit St. Petersburg,1,-,1,-,-,-,2,-,-,4,Andrei Arshavin
2019,J1 League,Vissel Kobe,3,2,1,-,3,3,1,-,,13,David Villa
2018,MLS Cup Playoffs,New York City FC,-,1,-,-,-,-,-,-,,1,David Villa
2018,MLS,New York City FC,3,1,4,-,2,2,2,-,,14,David Villa
2017,MLS Cup Playoffs,New York City FC,-,1,-,-,-,-,1,-,,2,David Villa
2017,MLS,New York City FC,1,4,3,1,2,6,5,-,,22,David Villa
2016,MLS,New York City FC,4,3,3,-,2,3,5,3,,23,David Villa
2015,MLS,New York City FC,1,2,3,1,2,4,3,2,,18,David Villa
14/15,A-League Men,Melbourne City FC,-,-,-,-,-,1,1,-,,2,David Villa
13/14,LaLiga,Atlético de Madrid,1,3,2,-,3,2,2,-,,13,David Villa
13/14,Copa del Rey,Atlético de Madrid,-,-,-,-,-,-,1,-,,1,David Villa
13/14,Supercopa,Atlético de Madrid,1,-,-,-,-,-,-,-,,1,David Villa
